movie_title,cast,director,keywords,genres,comb
dark places,charlize theron nicholas hoult christina hendricks chloã« grace moretz tye sheridan,gilles paquet-brenner,prison based on novel brother sister relationship satanism witness,drama mystery thriller,prison based on novel brother sister relationship satanism witness drama mystery thriller gilles paquet-brenner charlize theron nicholas hoult christina hendricks chloã« grace moretz tye sheridan
no escape,owen wilson lake bell pierce brosnan sterling jerins spencer garrett,john erick dowdle,coup american family foreign,action thriller,coup american family foreign action thriller john erick dowdle owen wilson lake bell pierce brosnan sterling jerins spencer garrett
dope,shameik moore kiersey clemons tony revolori zoã« kravitz chanel iman,rick famuyiwa,california hip-hop harvard university geek coming of age,crime drama comedy,california hip-hop harvard university geek coming of age crime drama comedy rick famuyiwa shameik moore kiersey clemons tony revolori zoã« kravitz chanel iman
american ultra,jesse eisenberg kristen stewart topher grace connie britton walton goggins,nima nourizadeh,memory loss stoner black ops,comedy action,memory loss stoner black ops comedy action nima nourizadeh jesse eisenberg kristen stewart topher grace connie britton walton goggins
woman in gold,helen mirren ryan reynolds tatiana maslany katie holmes max irons,simon curtis,nazis art stolen painting,drama,nazis art stolen painting drama simon curtis helen mirren ryan reynolds tatiana maslany katie holmes max irons
the scorpion king: the lost throne,victor webster ellen hollman barry bostwick will kemp m. emmet walsh,mike elliott,magic fantasy steampunk dragon,action fantasy adventure,magic fantasy steampunk dragon action fantasy adventure mike elliott victor webster ellen hollman barry bostwick will kemp m. emmet walsh
sisters,tina fey amy poehler john leguizamo ike barinholtz maya rudolph,jason moore,sister sister relationship childhood home,comedy,sister sister relationship childhood home comedy jason moore tina fey amy poehler john leguizamo ike barinholtz maya rudolph
project almanac,jonny weston virginia gardner sofia black-d'elia sam lerner allen evangelista,dean israelite,time travel time machine teenager found footage,science fiction thriller,time travel time machine teenager found footage science fiction thriller dean israelite jonny weston virginia gardner sofia black-d'elia sam lerner allen evangelista
absolutely anything,simon pegg kate beckinsale rob riggle sanjeev bhaskar joanna lumley,terry jones,london alien teacher talking animal super powers,comedy science fiction,london alien teacher talking animal super powers comedy science fiction terry jones simon pegg kate beckinsale rob riggle sanjeev bhaskar joanna lumley
the transporter refueled,ed skrein ray stevenson loan chabanol gabriella wright tatjana pajkoviä‡,camille delamarre,transporter sequel suspense car bank heist,thriller action crime,transporter sequel suspense car bank heist thriller action crime camille delamarre ed skrein ray stevenson loan chabanol gabriella wright tatjana pajkoviä‡
crimson peak,mia wasikowska jessica chastain tom hiddleston charlie hunnam jim beaver,guillermo del toro,haunted house mining murder spitting blood gothic,mystery thriller fantasy horror drama,haunted house mining murder spitting blood gothic mystery thriller fantasy horror drama guillermo del toro mia wasikowska jessica chastain tom hiddleston charlie hunnam jim beaver
everly,salma hayek hiroyuki watanabe jennifer blanc togo igawa caroline chikezie,joe lynch,assassin mob boss,thriller action,assassin mob boss thriller action joe lynch salma hayek hiroyuki watanabe jennifer blanc togo igawa caroline chikezie
magic mike xxl,channing tatum matt bomer joe manganiello kevin nash adam rodrã­guez,gregory jacobs,male friendship strip club road trip strip tease strip,comedy drama music,male friendship strip club road trip strip tease strip comedy drama music gregory jacobs channing tatum matt bomer joe manganiello kevin nash adam rodrã­guez
paranormal activity: the ghost dimension,chris j. murray brit shaw ivy george lauren frandsen tyler craig,gregory plotkin,terror supernatural sequel demon found footage,horror thriller,terror supernatural sequel demon found footage horror thriller gregory plotkin chris j. murray brit shaw ivy george lauren frandsen tyler craig
slow west,michael fassbender kodi smit-mcphee ben mendelsohn caren pistorius rory mccann,john maclean,fire bounty hunter shotgun horseback riding horse,romance thriller western,fire bounty hunter shotgun horseback riding horse romance thriller western john maclean michael fassbender kodi smit-mcphee ben mendelsohn caren pistorius rory mccann
trumbo,bryan cranston diane lane helen mirren elle fanning louis c.k.,jay roach,screenwriter communist biography film history hollywood,drama,screenwriter communist biography film history hollywood drama jay roach bryan cranston diane lane helen mirren elle fanning louis c.k.
secret in their eyes,chiwetel ejiofor nicole kidman julia roberts dean norris lyndon smith,billy ray,fbi missing child,crime drama mystery,fbi missing child crime drama mystery billy ray chiwetel ejiofor nicole kidman julia roberts dean norris lyndon smith
mistress america,greta gerwig lola kirke charlie gillette dean wareham heather lind,noah baumbach,comedy,comedy,comedy comedy noah baumbach greta gerwig lola kirke charlie gillette dean wareham heather lind
the spongebob movie: sponge out of water,tom kenny bill fagerbakke rodger bumpass clancy brown carolyn lawrence,paul tibbitt,ocean sea star water comedy,family animation,ocean sea star water comedy family animation paul tibbitt tom kenny bill fagerbakke rodger bumpass clancy brown carolyn lawrence
true story,jonah hill james franco felicity jones maria dizzia ethan suplee,rupert goold,,crime drama mystery, crime drama mystery rupert goold jonah hill james franco felicity jones maria dizzia ethan suplee
max,thomas haden church josh wiggins lauren graham robbie amell mia xitlali,boaz yakin,afghanistan war based on true story rescue betrayal,adventure drama family,afghanistan war based on true story rescue betrayal adventure drama family boaz yakin thomas haden church josh wiggins lauren graham robbie amell mia xitlali
shaun the sheep movie,justin fletcher omid djalili richard webber kate harbour tim hands,mark burton richard starzack,countryside sheep based on tv series memory loss hospital,family animation comedy adventure,countryside sheep based on tv series memory loss hospital family animation comedy adventure mark burton richard starzack justin fletcher omid djalili richard webber kate harbour tim hands
louder than bombs,gabriel byrne isabelle huppert jesse eisenberg devin druid amy ryan,joachim trier,usa brother brother relationship father-son relationship car accident death of mother,drama,usa brother brother relationship father-son relationship car accident death of mother drama joachim trier gabriel byrne isabelle huppert jesse eisenberg devin druid amy ryan
a perfect day,olga kurylenko benicio del toro tim robbins mã©lanie thierry fedja stukan,fernando leã³n de aranoa,road movie,comedy drama,road movie comedy drama fernando leã³n de aranoa olga kurylenko benicio del toro tim robbins mã©lanie thierry fedja stukan
the gunman,sean penn jasmine trinca javier bardem ray winstone mark rylance,pierre morel,assassin hitman,action drama crime,assassin hitman action drama crime pierre morel sean penn jasmine trinca javier bardem ray winstone mark rylance
unfriended,shelley hennig moses jacob storm renee olstead william peltz jacob wysocki,levan gabriadze,computer bullying revenge internet violence,horror thriller,computer bullying revenge internet violence horror thriller levan gabriadze shelley hennig moses jacob storm renee olstead william peltz jacob wysocki
hot pursuit,reese witherspoon sofã­a vergara michael mosley john carroll lynch richard t. jones,anne fletcher,texas prisoner cop drug cartel on the run,action crime comedy,texas prisoner cop drug cartel on the run action crime comedy anne fletcher reese witherspoon sofã­a vergara michael mosley john carroll lynch richard t. jones
insidious: chapter 3,dermot mulroney stefanie scott lin shaye leigh whannell angus sampson,leigh whannell,sequel,drama horror thriller,sequel drama horror thriller leigh whannell dermot mulroney stefanie scott lin shaye leigh whannell angus sampson
z for zachariah,margot robbie chiwetel ejiofor chris pine,craig zobel,love triangle based on novel jealousy radiation tractor,drama science fiction thriller,love triangle based on novel jealousy radiation tractor drama science fiction thriller craig zobel margot robbie chiwetel ejiofor chris pine
dragonheart 3: the sorcerer's curse,julian morris tamzin merchant jassa ahluwalia ben kingsley jonjo o'neill,colin teague,magic wall druid knight dragon,action adventure fantasy,magic wall druid knight dragon action adventure fantasy colin teague julian morris tamzin merchant jassa ahluwalia ben kingsley jonjo o'neill
